user_id,book_id,rating
3624,335,4
237,709,5
3043,237,5
1321,77,3
830,633,3
1329,28,4
3794,264,5
866,405,4
4217,24,5
1757,901,5
85,42,5
2685,15,3
1872,431,4
1672,4,4
286,354,4
1413,189,4
4110,282,4
180,8,5
3521,612,5
3310,18,5
3147,335,5
1262,19,4
3084,204,5
2824,90,4
969,951,5
1886,265,5
1392,136,4
2019,131,4
2619,157,5
3805,331,3
1555,65,4
2983,219,5
3213,410,5
4047,39,3
2542,113,3
2761,9,2
1890,478,2
4545,63,3
3077,77,3
1000,753,5
4399,576,5
2370,268,3
3619,559,2
411,483,5
2182,243,3
2048,530,3
4153,28,5
2414,278,5
1884,429,3
2963,18,4
2019,26,3
4358,131,2
4294,248,3
283,225,3
2519,773,3
813,186,4
1399,8,5
3666,211,4
3027,751,5
2398,700,2
989,354,2
3499,662,5
1184,2,5
1499,854,4
2759,306,3
3898,344,4
1962,670,5
3069,477,4
3969,33,3
4502,944,3
3307,45,3
2334,33,4
1058,102,4
3290,411,3
462,43,3
2602,86,4
4396,7,5
3446,65,4
1173,205,3
1794,129,5
3278,13,5
991,595,3
481,626,4
920,130,4
3631,18,3
600,11,4
1826,40,4
1395,465,4
423,268,3
1560,138,5
3851,145,5
2758,87,4
4451,108,5
182,18,5
1604,708,2
3601,85,5
559,936,4
3015,538,5
653,8,2
2970,640,3
1489,28,5
2055,50,3
3448,92,4
2371,122,2
2036,18,4
2641,372,5
1835,13,4
1586,26,3
76,925,4
744,191,3
2119,158,5
1431,28,2
2260,690,4
2726,237,5
3232,828,5
1415,78,4
2796,55,4
2962,257,3
1183,959,4
2224,4,4
229,234,4
7,481,4
1006,281,3
1069,424,4
1720,84,3
3845,386,4
2316,102,5
3820,900,4
1377,28,1
4390,8,4
4612,19,5
2428,42,5
90,150,4
1102,620,5
1696,32,5
2031,705,3
4,117,4
559,903,4
3332,839,3
3986,839,5
2123,248,4
942,24,4
2270,520,5
2577,387,1
3847,129,5
682,205,3
1851,670,2
4221,57,4
4066,674,3
375,100,5
809,97,3
2746,362,4
